FIPS,2014 RPL_THEME3,2015 RPL_THEME3,2016 RPL_THEME3,2017 RPL_THEME3,2018 RPL_THEME3,2019 RPL_THEME3,2020 RPL_THEME3
13021,77.49,77.52,77.55,79.43,81.31,87.55,93.79
13023,37.79,43.16,48.52,51.69,54.86,62.64,70.43
13025,20.15,19.31,18.47,20.4,22.32,23.7,25.08
13027,82.36,81.63,80.9,83.38,85.86,84.72,83.58
13029,47.91,56.16,64.41,65.22,66.03,65.74,65.44
13031,75.74,69.85,63.96,59.26,54.57,65.16,75.75
13033,65.27,69.72,74.18,73.23,72.27,80.5,88.73
13035,63.83,62.32,60.81,54.74,48.68,60.72,72.76
13037,90.48,81.04,71.6,79.32,87.04,91.24,95.45
13039,59.95,59.18,58.42,56.34,54.25,61.43,68.62
13043,78.8,78.2,77.59,76.5,75.42,77.38,79.34
13045,72.72,72.04,71.35,71.96,72.56,70.74,68.91
13047,34.22,34.12,34.03,32.69,31.36,30.91,30.46
13049,86.44,87.06,87.68,89.27,90.86,84.34,77.82
13051,87.68,86.47,85.26,84.43,83.6,86.01,88.42
13053,78.54,80.61,82.68,73.74,64.79,73.62,82.46
13055,64.47,63.37,62.27,62.7,63.13,56.98,50.83
13057,74.12,74.2,74.28,74.61,74.94,66.18,57.42
13059,89.97,90.18,90.39,89.76,89.14,86.79,84.44
13061,47.41,47.71,48.01,48.62,49.22,70.32,91.41
13063,98.12,98.01,97.9,97.65,97.39,98.41,99.43
13065,64.02,68.92,73.83,72.0,70.17,71.88,73.58
13067,91.56,91.8,92.04,92.1,92.17,89.67,87.17
13069,81.98,83.3,84.62,85.38,86.15,83.78,81.41
13071,93.47,93.58,93.7,93.7,93.7,88.84,83.99
13073,73.73,74.61,75.49,75.12,74.75,72.7,70.66
13075,80.04,75.48,70.93,71.55,72.17,73.32,74.47
13077,75.96,76.0,76.03,75.91,75.8,71.64,67.47
13079,33.84,33.27,32.7,31.63,30.56,47.44,64.32
13081,62.66,70.4,78.13,74.87,71.6,79.74,87.87
13083,16.17,18.12,20.06,19.52,18.97,20.5,22.02
13085,28.69,29.27,29.86,32.02,34.19,31.74,29.28
13087,67.97,66.0,64.02,62.64,61.25,74.46,87.68
13089,97.07,97.08,97.1,96.99,96.88,96.77,96.66
13091,63.8,66.64,69.47,66.19,62.91,68.81,74.7
13093,73.26,79.96,86.66,86.93,87.2,89.26,91.31
13095,70.3,71.33,72.37,71.67,70.96,84.27,97.58
13097,88.32,88.38,88.44,87.87,87.3,90.14,92.97
13099,43.43,43.62,43.81,44.34,44.86,67.48,90.1
